bank_name,bank_group,established_year,ownership_type,fiscal_year,total_deposits_crore,total_advances_crore,gross_npa_crore,net_npa_crore,gnpa_ratio_pct,nnpa_ratio_pct,cd_ratio_pct,return_on_assets_pct,return_on_equity_pct,net_profit_crore,provision_coverage_ratio_pct,risk_classification,deposit_yoy_growth_pct,credit_yoy_growth_pct,gnpa_yoy_change_pct
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2018,7877.12,6467.12,602.74,168.79,9.32,2.61,82.1,-0.43,-4.15,-27.1,72.0,Elevated Watch / High Risk,0.0,0.0,0.0
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2019,8022.79,6321.96,589.84,136.55,9.33,2.16,78.8,-0.15,-1.55,-9.63,76.85,Elevated Watch / High Risk,1.85,-2.24,0.01
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2020,8746.98,6175.37,471.8,125.36,7.64,2.03,70.6,0.27,3.05,18.89,73.43,Elevated Watch / High Risk,9.03,-2.32,-1.69
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2021,10122.91,8381.77,523.02,138.3,6.24,1.65,82.8,0.34,4.06,27.53,73.56,Elevated Watch / High Risk,15.73,35.73,-1.4
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2022,10833.25,8374.1,520.87,149.06,6.22,1.78,77.3,0.66,6.87,57.2,71.38,Elevated Watch / High Risk,7.02,-0.09,-0.02
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2023,11582.87,7911.1,409.79,125.0,5.18,1.58,68.3,1.11,10.82,102.86,69.5,Moderate Risk,6.92,-5.53,-1.04
Aryavart Bank,Regional Rural Banks,2019,RRB,FY2024,12542.62,9645.27,514.09,118.64,5.33,1.23,76.9,0.91,9.64,91.31,76.92,Moderate Risk,8.29,21.92,0.15
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2018,29299.27,22531.14,1338.35,389.79,5.94,1.73,76.9,-0.38,-4.4,-89.07,70.88,Moderate Risk,0.0,0.0,0.0
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2019,33273.67,24023.59,1354.93,410.8,5.64,1.71,72.2,-0.21,-2.13,-55.9,69.68,Moderate Risk,13.56,6.62,-0.3
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2020,35777.4,28550.37,1336.16,422.55,4.68,1.48,79.8,0.42,4.52,120.21,68.38,Moderate Risk,7.52,18.84,-0.96
