quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio,cd_ratio,cd_ratio_category,deposits_per_branch_crore,credit_per_branch_crore
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Rural,Commercial Branches,5,452.72,385.44,,85.14,Strained (High Credit Deployment),90.54,77.09
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Rural,Specialized Credit Cells,4,564.51,455.02,,80.6,Optimal Deployment,141.13,113.76
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Semi-Urban,Commercial Branches,17,702.66,514.39,73.21,73.21,Moderate Deployment,41.33,30.26
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Semi-Urban,Specialized Credit Cells,11,369.62,268.44,72.63,72.63,Moderate Deployment,33.6,24.4
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Urban,Commercial Branches,28,1170.56,790.43,67.53,67.53,Moderate Deployment,41.81,28.23
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Urban,Specialized Credit Cells,24,1685.65,1137.0,67.45,67.45,Moderate Deployment,70.24,47.38
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Metropolitan,Commercial Branches,58,2131.93,2009.43,94.25,94.25,Strained (High Credit Deployment),36.76,34.65
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Metropolitan,Specialized Credit Cells,45,2725.16,2810.01,103.11,103.11,Strained (High Credit Deployment),60.56,62.44
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Rural,Commercial Branches,2,378.96,260.25,,68.67,Moderate Deployment,189.48,130.12
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Rural,Specialized Credit Cells,4,172.49,133.13,77.18,77.18,Optimal Deployment,43.12,33.28
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Semi-Urban,Commercial Branches,5,635.58,471.56,74.19,74.19,Moderate Deployment,127.12,94.31
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9,562.71,463.35,82.34,82.34,Optimal Deployment,62.52,51.48
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Urban,Commercial Branches,17,1795.72,1073.58,73.69,59.79,Under-deployed (Surplus Liquidity),105.63,63.15
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Urban,Specialized Credit Cells,26,1755.49,1432.26,81.59,81.59,Optimal Deployment,67.52,55.09
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Metropolitan,Commercial Branches,54,1974.92,1780.29,90.14,90.14,Strained (High Credit Deployment),36.57,32.97
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Metropolitan,Specialized Credit Cells,57,2285.99,2077.65,90.89,90.89,Strained (High Credit Deployment),40.11,36.45
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Rural,Commercial Branches,1,7.88,6.63,84.14,84.14,Optimal Deployment,7.88,6.63
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Rural,Specialized Credit Cells,1,6.97,5.03,72.13,72.17,Moderate Deployment,6.97,5.03
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Semi-Urban,Commercial Branches,1,13.59,11.6,85.39,85.36,Strained (High Credit Deployment),13.59,11.6
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,14.13,10.49,74.21,74.24,Moderate Deployment,14.13,10.49
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Urban,Commercial Branches,5,409.07,319.66,78.14,78.14,Optimal Deployment,81.81,63.93
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Urban,Specialized Credit Cells,6,326.16,238.06,72.99,72.99,Moderate Deployment,54.36,39.68
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Metropolitan,Commercial Branches,21,1163.64,1093.5,93.97,93.97,Strained (High Credit Deployment),55.41,52.07
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Metropolitan,Specialized Credit Cells,18,927.96,907.66,97.81,97.81,Strained (High Credit Deployment),51.55,50.43
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Rural,Commercial Branches,1,43.73,29.39,67.22,67.21,Moderate Deployment,43.73,29.39
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Rural,Specialized Credit Cells,1,44.52,31.69,71.19,71.18,Moderate Deployment,44.52,31.69
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Semi-Urban,Commercial Branches,2,176.39,135.9,77.05,77.05,Optimal Deployment,88.2,67.95
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,3,42.46,32.2,75.84,75.84,Optimal Deployment,14.15,10.73
