bank_name,bank_group,established_year,ownership_type,fiscal_year,total_deposits_crore,total_advances_crore,gross_npa_crore,net_npa_crore,gnpa_ratio_pct,nnpa_ratio_pct,cd_ratio_pct,return_on_assets_pct,return_on_equity_pct,net_profit_crore
State Bank of India,Public Sector Banks,1955,Public,FY2018,180217.28,133721.22,15364.57,4038.38,11.49,3.02,74.2,-0.33,-3.4,-475.77
State Bank of India,Public Sector Banks,1955,Public,FY2019,197948.18,144106.28,15549.07,5216.65,10.79,3.62,72.8,-0.26,-3.18,-411.73
State Bank of India,Public Sector Banks,1955,Public,FY2020,213954.84,145703.25,13885.52,4050.55,9.53,2.78,68.1,0.33,3.65,564.84
State Bank of India,Public Sector Banks,1955,Public,FY2021,231194.83,184955.86,14833.46,4069.03,8.02,2.2,80.0,0.31,4.0,573.36
State Bank of India,Public Sector Banks,1955,Public,FY2022,247571.8,205484.59,14466.12,3205.56,7.04,1.56,83.0,0.48,4.71,950.68
State Bank of India,Public Sector Banks,1955,Public,FY2023,265553.96,202883.23,9697.82,2576.62,4.78,1.27,76.4,1.02,13.17,2166.92
State Bank of India,Public Sector Banks,1955,Public,FY2024,283029.43,200384.84,8115.59,2404.62,4.05,1.2,70.8,1.32,16.23,2988.79
punjab national bank  ,Public Sector Banks,1894,Public,FY2018,82303.72,59423.29,7154.56,2460.12,12.04,4.14,72.2,-0.09,-0.97,-59.26
Punjab National Bank,Public Sector Banks,1894,Public,FY2019,90342.83,63872.38,7000.41,1839.52,10.96,2.88,70.7,0.15,1.79,108.41
Punjab National Bank,Public Sector Banks,1894,Public,FY2020,97508.16,70693.42,7302.63,2516.69,10.33,3.56,72.5,-0.12,-1.12,-93.61
Punjab National Bank,Public Sector Banks,1894,Public,FY2021,105368.47,71861.3,5871.07,1358.18,8.17,1.89,68.2,0.26,2.66,219.17
Punjab National Bank,Public Sector Banks,1894,Public,FY2022,112680.14,93186.48,6327.36,1481.67,6.79,1.59,82.7,0.44,4.47,396.63
Punjab National Bank,Public Sector Banks,1894,Public,FY2023,122539.02,86757.63,4884.45,1440.18,5.63,1.66,70.8,0.71,8.09,696.02
Punjab National Bank,Public Sector Banks,1894,Public,FY2024,130405.81,93109.75,3836.12,1135.94,4.12,1.22,71.4,1.19,12.68,1241.46
Bank of Baroda,Public Sector Banks,1908,Public,FY2018,83020.25,57366.99,6826.67,1531.7,11.9,2.67,69.1,-0.64,-7.18,-425.06
