quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio
FY2018-Q1,Western,  maharashtra,Mumbai,Public Sector Banks,Rural,Commercial Branches,5.0,452.72,385.44,
FY2018-Q1,Western,Maharashtra,MUMBAI,Public Sector Banks,Rural,Specialized Credit Cells,4.0,564.51,455.02,
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Semi-Urban,Commercial Branches,17.0,702.66,514.39,73.21
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,369.62,268.44,72.63
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Urban,Commercial Branches,28.0,1170.56,790.43,67.53
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Urban,Specialized Credit Cells,24.0,1685.65,1137.0,67.45
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Metropolitan,Commercial Branches,58.0,2131.93,2009.43,94.25
FY2018-Q1,Western,Maharashtra,Mumbai,Public Sector Banks,Metropolitan,Specialized Credit Cells,45.0,2725.16,2810.01,103.11
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Rural,Commercial Branches,2.0,378.96,260.25,
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Rural,Specialized Credit Cells,4.0,172.49,133.13,77.18
FY2018-Q1,Western,MAHARASHTRA ,Mumbai,Private Sector Banks,Semi-Urban,Commercial Branches,5.0,635.58,471.56,74.19
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Semi-Urban,Specialized Credit Cells,9.0,562.71,463.35,82.34
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Urban,Commercial Branches,17.0,,1073.58,73.69
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Urban,Specialized Credit Cells,26.0,1755.49,1432.26,81.59
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Metropolitan,Commercial Branches,54.0,1974.92,1780.29,90.14
FY2018-Q1,Western,Maharashtra,Mumbai,Private Sector Banks,Metropolitan,Specialized Credit Cells,57.0,2285.99,2077.65,90.89
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Rural,Commercial Branches,1.0,7.88,6.63,84.14
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.97,5.03,72.13
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Semi-Urban,Commercial Branches,1.0,13.59,11.6,85.39
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,14.13,10.49,74.21
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Urban,Commercial Branches,5.0,409.07,319.66,78.14
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Urban,Specialized Credit Cells,6.0,326.16,238.06,72.99
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Metropolitan,Commercial Branches,21.0,1163.64,1093.5,93.97
FY2018-Q1,Western,Maharashtra,Mumbai,Foreign Banks,Metropolitan,Specialized Credit Cells,18.0,927.96,907.66,97.81
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Rural,Commercial Branches,1.0,43.73,29.39,67.22
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,44.52,31.69,71.19
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,176.39,135.9,77.05
FY2018-Q1,Western,MAHARASHTRA ,Mumbai,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,3.0,42.46,32.2,75.84
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Urban,Commercial Branches,2.0,224.24,203.56,90.78
FY2018-Q1,Western,Maharashtra,MUMBAI,Regional Rural Banks,Urban,Specialized Credit Cells,1.0,206.46,160.65,
