quarter,sector_name,category,base_share_pct,credit_deployed_crore,yoy_growth_pct
FY2018-Q1,Agriculture and Allied Activities,Priority Sector,14.0,12040.0,7.82
FY2018-Q1,Industry - Micro & Small,Priority Sector,6.0,5160.0,10.86
FY2018-Q1, INDUSTRY - MEDIUM ,Non-Priority Sector,4.0,3440.0,9.25
FY2018-Q1,Industry - Large,Non-Priority Sector,22.0,18920.0,9.28
FY2018-Q1,Services - Transport Operators,Services,3.0,2580.0,6.91
FY2018-Q1, SERVICES - TRADE (WHOLESALE & RETAIL) ,Services,8.0,6880.0,10.16
FY2018-Q1,Services - Commercial Real Estate,Services,4.0,3440.0,7.2
FY2018-Q1,Services - NBFCs,Services,11.0,9460.0,6.66
FY2018-Q1,Personal Loans - Housing,Retail / Personal,15.0,12900.0,7.71
FY2018-Q1, PERSONAL LOANS - VEHICLE LOANS ,Retail / Personal,5.0,4300.0,8.93
FY2018-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,1720.0,
FY2018-Q1,Personal Loans - Other Personal Loans,Retail / Personal,6.0,5160.0,8.85
FY2018-Q2,Agriculture and Allied Activities,Priority Sector,14.0,12437.32,8.32
FY2018-Q2,Industry - Micro & Small,Priority Sector,6.0,5330.28,8.12
FY2018-Q2,Industry - Medium,Non-Priority Sector,4.0,3553.52,6.98
FY2018-Q2,Industry - Large,Non-Priority Sector,22.0,19466.18,6.3
FY2018-Q2,Services - Transport Operators,Services,3.0,2686.46,10.44
FY2018-Q2,Services - Trade (Wholesale & Retail),Services,8.0,7163.9,7.76
FY2018-Q2,Services - Commercial Real Estate,Services,4.0,3581.95,5.96
FY2018-Q2,Services - NBFCs,Services,11.0,9850.36,
FY2018-Q2, PERSONAL LOANS - HOUSING ,Retail / Personal,15.0,13432.31,8.37
FY2018-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,4477.44,9.44
FY2018-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,1790.97,8.01
FY2018-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,5372.92,8.21
FY2018-Q3,Agriculture and Allied Activities,Priority Sector,14.0,12834.64,9.99
FY2018-Q3,Industry - Micro & Small,Priority Sector,6.0,5500.56,6.83
FY2018-Q3,Industry - Medium,Non-Priority Sector,4.0,3667.04,8.58
FY2018-Q3,Industry - Large,Non-Priority Sector,22.0,20007.37,7.56
FY2018-Q3,Services - Transport Operators,Services,3.0,2794.28,8.49
FY2018-Q3,Services - Trade (Wholesale & Retail),Services,8.0,7451.43,6.25
FY2018-Q3, SERVICES - COMMERCIAL REAL ESTATE ,Services,4.0,3725.71,8.21
FY2018-Q3,Services - NBFCs,Services,11.0,10245.71,9.53
FY2018-Q3,Personal Loans - Housing,Retail / Personal,15.0,13971.42,10.01
FY2018-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,4657.14,9.26
FY2018-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,1862.86,8.71
FY2018-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,5588.57,6.06
FY2018-Q4,Agriculture and Allied Activities,Priority Sector,14.0,13231.96,6.72
FY2018-Q4,Industry - Micro & Small,Priority Sector,6.0,5670.84,8.56
FY2018-Q4,Industry - Medium,Non-Priority Sector,4.0,3780.56,7.9
FY2018-Q4,Industry - Large,Non-Priority Sector,22.0,20543.56,9.32
FY2018-Q4,Services - Transport Operators,Services,3.0,2903.47,7.89
FY2018-Q4,Services - Trade (Wholesale & Retail),Services,8.0,7742.59,8.84
FY2018-Q4,Services - Commercial Real Estate,Services,4.0,3871.29,
FY2018-Q4,Services - NBFCs,Services,11.0,10646.06,9.43
FY2018-Q4, PERSONAL LOANS - HOUSING ,Retail / Personal,15.0,14517.35,8.29
FY2018-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,4839.12,9.78
FY2018-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,1935.65,8.56
FY2018-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,5806.94,7.94
FY2019-Q1,Agriculture and Allied Activities,Priority Sector,14.0,13629.28,9.57
FY2019-Q1,Industry - Micro & Small,Priority Sector,6.0,5841.12,7.7
FY2019-Q1,Industry - Medium,Non-Priority Sector,4.0,3894.08,8.38
FY2019-Q1,Industry - Large,Non-Priority Sector,22.0,21074.76,8.92
FY2019-Q1,Services - Transport Operators,Services,3.0,3014.02,8.51
FY2019-Q1,Services - Trade (Wholesale & Retail),Services,8.0,8037.38,7.03
FY2019-Q1,Services - Commercial Real Estate,Services,4.0,4018.69,6.85
FY2019-Q1,Services - NBFCs,Services,11.0,11051.4,8.68
FY2019-Q1,Personal Loans - Housing,Retail / Personal,15.0,15070.09,8.46
FY2019-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5023.36,9.01
FY2019-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,2009.35,6.87
FY2019-Q1, PERSONAL LOANS - OTHER PERSONAL LOANS ,Retail / Personal,6.0,6028.04,7.37
FY2019-Q2,Agriculture and Allied Activities,Priority Sector,14.0,14026.6,8.98
FY2019-Q2,Industry - Micro & Small,Priority Sector,6.0,6011.4,7.71
FY2019-Q2,Industry - Medium,Non-Priority Sector,4.0,4007.6,8.6
FY2019-Q2,Industry - Large,Non-Priority Sector,22.0,21600.96,7.4
FY2019-Q2,Services - Transport Operators,Services,3.0,3125.93,9.12
FY2019-Q2,Services - Trade (Wholesale & Retail),Services,8.0,8335.81,10.42
FY2019-Q2,Services - Commercial Real Estate,Services,4.0,4167.9,8.9
FY2019-Q2,Services - NBFCs,Services,11.0,11461.74,9.92
FY2019-Q2,Personal Loans - Housing,Retail / Personal,15.0,15629.64,8.9
FY2019-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5209.88,
FY2019-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,2083.95,9.03
FY2019-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,6251.86,8.42
FY2019-Q3,Agriculture and Allied Activities,Priority Sector,14.0,14423.92,8.08
FY2019-Q3,Industry - Micro & Small,Priority Sector,6.0,6181.68,10.39
FY2019-Q3,Industry - Medium,Non-Priority Sector,4.0,4121.12,9.45
FY2019-Q3,Industry - Large,Non-Priority Sector,22.0,22122.17,8.72
FY2019-Q3,Services - Transport Operators,Services,3.0,3239.2,9.56
FY2019-Q3,Services - Trade (Wholesale & Retail),Services,8.0,8637.87,10.56
FY2019-Q3,Services - Commercial Real Estate,Services,4.0,4318.93,8.17
FY2019-Q3,Services - NBFCs,Services,11.0,11877.07,8.34
FY2019-Q3,Personal Loans - Housing,Retail / Personal,15.0,16196.0,
FY2019-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5398.67,10.12
FY2019-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,2159.47,10.86
FY2019-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,6478.4,7.88
FY2019-Q4,Agriculture and Allied Activities,Priority Sector,14.0,14821.24,10.43
FY2019-Q4,Industry - Micro & Small,Priority Sector,6.0,6351.96,6.76
FY2019-Q4,Industry - Medium,Non-Priority Sector,4.0,4234.64,10.46
FY2019-Q4,Industry - Large,Non-Priority Sector,22.0,22638.39,10.17
FY2019-Q4,Services - Transport Operators,Services,3.0,3353.83,9.26
FY2019-Q4,Services - Trade (Wholesale & Retail),Services,8.0,8943.56,10.06
FY2019-Q4,Services - Commercial Real Estate,Services,4.0,4471.78,8.91
FY2019-Q4,Services - NBFCs,Services,11.0,12297.39,8.66
FY2019-Q4,Personal Loans - Housing,Retail / Personal,15.0,16769.17,9.13
FY2019-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5589.72,7.06
FY2019-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,2235.89,9.79
FY2019-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,6707.67,7.06
FY2020-Q1,Agriculture and Allied Activities,Priority Sector,14.0,15218.56,9.15
FY2020-Q1,Industry - Micro & Small,Priority Sector,6.0,6522.24,9.92
FY2020-Q1,Industry - Medium,Non-Priority Sector,4.0,4348.16,11.34
FY2020-Q1,Industry - Large,Non-Priority Sector,22.0,23149.6,11.39
FY2020-Q1,Services - Transport Operators,Services,3.0,3469.83,9.87
FY2020-Q1,Services - Trade (Wholesale & Retail),Services,8.0,9252.88,6.33
FY2020-Q1,Services - Commercial Real Estate,Services,4.0,4626.44,10.94
FY2020-Q1,Services - NBFCs,Services,11.0,12722.72,10.28
FY2020-Q1,Personal Loans - Housing,Retail / Personal,15.0,17349.16,7.71
FY2020-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5783.05,9.72
FY2020-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,2313.22,8.92
FY2020-Q1, PERSONAL LOANS - OTHER PERSONAL LOANS ,Retail / Personal,6.0,6939.66,8.54
FY2020-Q2,Agriculture and Allied Activities,Priority Sector,14.0,15615.88,10.84
FY2020-Q2,Industry - Micro & Small,Priority Sector,6.0,6692.52,9.37
FY2020-Q2,Industry - Medium,Non-Priority Sector,4.0,4461.68,9.93
FY2020-Q2,Industry - Large,Non-Priority Sector,22.0,23655.83,8.23
FY2020-Q2,Services - Transport Operators,Services,3.0,3587.19,11.1
FY2020-Q2,Services - Trade (Wholesale & Retail),Services,8.0,9565.84,10.72
FY2020-Q2,Services - Commercial Real Estate,Services,4.0,4782.92,7.69
FY2020-Q2,Services - NBFCs,Services,11.0,13153.03,10.31
FY2020-Q2,Personal Loans - Housing,Retail / Personal,15.0,17935.95,10.32
FY2020-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,5978.65,8.86
FY2020-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,2391.46,11.46
FY2020-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,7174.38,10.23
FY2020-Q3,Agriculture and Allied Activities,Priority Sector,14.0,16013.2,11.76
FY2020-Q3,Industry - Micro & Small,Priority Sector,6.0,6862.8,10.68
FY2020-Q3,Industry - Medium,Non-Priority Sector,4.0,4575.2,11.82
FY2020-Q3,Industry - Large,Non-Priority Sector,22.0,24157.06,10.38
FY2020-Q3,Services - Transport Operators,Services,3.0,3705.91,10.41
FY2020-Q3,Services - Trade (Wholesale & Retail),Services,8.0,9882.43,9.13
FY2020-Q3,Services - Commercial Real Estate,Services,4.0,4941.22,9.87
FY2020-Q3,Services - NBFCs,Services,11.0,13588.34,7.67
FY2020-Q3,Personal Loans - Housing,Retail / Personal,15.0,18529.56,11.47
